url,count,array_agg,array_agg
http://archive.sclqld.org.au/qjudgment/2006/QCA06-080.pdf,2,"{ch_evidence_affected_children,ch_evidence_affected_children}","{Chapter 2.11 Evidence of Affected Children.docx,Chapter 2.11 Evidence of Affected Children.docx}"
http://archive.sclqld.org.au/qjudgment/2006/QCA06-158.pdf,2,"{ch_defendant_giving_evidence,ch_defendant_giving_evidence}","{Chapter 4.2 Defendant Giving Evidence (The Liberato Direction).docx,Chapter 4.2 Defendant Giving Evidence (The Liberato Direction).docx}"
http://archive.sclqld.org.au/qjudgment/2006/QCA06-162.pdf,4,"{ch_accident,ch_accident,ch_accident,ch_accident}","{Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx}"
http://archive.sclqld.org.au/qjudgment/2006/QCA06-220.pdf,2,"{ch_browne_v_dunn,ch_browne_v_dunn}","{Chapter 4.9 The Rule in Browne v Dunn.docx,Chapter 4.9 The Rule in Browne v Dunn.docx}"
http://archive.sclqld.org.au/qjudgment/2006/QCA06-244.pdf,2,"{ch_good_character,ch_good_character}","{Chapter 4.16 Good Character.docx,Chapter 4.16 Good Character.docx}"
http://archive.sclqld.org.au/qjudgment/2006/QCA06-378.pdf,2,"{ch_evidence_affected_children,ch_evidence_affected_children}","{Chapter 2.11 Evidence of Affected Children.docx,Chapter 2.11 Evidence of Affected Children.docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-066.pdf,2,"{ch_post_offence_conduct_guilt,ch_post_offence_conduct_guilt}","{Chapter 4.11 Flight and Other Post-Offence Conduct as Demonstrating Consciousness of Guilt.docx,Chapter 4.11 Flight and Other Post-Offence Conduct as Demonstrating Consciousness of Guilt.docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-150.pdf,2,"{ch_claim_of_right,ch_claim_of_right}","{Chapter 17.6 Claim of Right s 22(2).docx,Chapter 17.6 Claim of Right s 22(2).docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-161.pdf,2,"{ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-210.pdf,2,"{ch_abuse_impairment_mind,ch_abuse_impairment_mind}","{Chapter 11.13 Abuse of Persons with an Impairment of the Mind.docx,Chapter 11.13 Abuse of Persons with an Impairment of the Mind.docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-219.pdf,2,"{ch_unwilled_acts_automatism,ch_unwilled_acts_automatism}","{Chapter 17.4 Unwilled Acts—Automatism s 23.docx,Chapter 17.4 Unwilled Acts—Automatism s 23.docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-267.pdf,2,"{ch_lies_told_defendant,ch_lies_told_defendant}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2007/QCA07-383.pdf,2,"{ch_post_offence_conduct_guilt,ch_post_offence_conduct_guilt}","{Chapter 4.11 Flight and Other Post-Offence Conduct as Demonstrating Consciousness of Guilt.docx,Chapter 4.11 Flight and Other Post-Offence Conduct as Demonstrating Consciousness of Guilt.docx}"
http://archive.sclqld.org.au/qjudgment/2008/QCA08-028.pdf,2,"{ch_accident,ch_accident}","{Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx}"
http://archive.sclqld.org.au/qjudgment/2008/QCA08-145.pdf,2,"{ch_good_character,ch_good_character}","{Chapter 4.16 Good Character.docx,Chapter 4.16 Good Character.docx}"
http://archive.sclqld.org.au/qjudgment/2008/QCA08-412.pdf,2,"{ch_defendant_giving_evidence,ch_defendant_giving_evidence}","{Chapter 4.2 Defendant Giving Evidence (The Liberato Direction).docx,Chapter 4.2 Defendant Giving Evidence (The Liberato Direction).docx}"
http://archive.sclqld.org.au/qjudgment/2009/QCA09-028.pdf,4,"{ch_arson,ch_intentional_intoxication,ch_intentional_intoxication,ch_arson}","{Chapter 13.2 Arson s 461.docx,Chapter 17.3 Intentional Intoxication.docx,Chapter 17.3 Intentional Intoxication.docx,Chapter 13.2 Arson s 461.docx}"
http://archive.sclqld.org.au/qjudgment/2009/QCA09-309.pdf,2,"{ch_self_defence_unprovoked_assault,ch_self_defence_unprovoked_assault}","{Chapter 17.19 Self-Defence Against Unprovoked Assault s 271(1).docx,Chapter 17.19 Self-Defence Against Unprovoked Assault s 271(1).docx}"
http://archive.sclqld.org.au/qjudgment/2009/QCA09-332.pdf,4,"{ch_hostile_witnesses,ch_hostile_witnesses,ch_hostile_witnesses,ch_hostile_witnesses}","{Chapter 2.15 Hostile Witnesses.docx,Chapter 2.15 Hostile Witnesses.docx,Chapter 2.15 Hostile Witnesses.docx,Chapter 2.15 Hostile Witnesses.docx}"
http://archive.sclqld.org.au/qjudgment/2009/QCA09-375.pdf,2,"{ch_defence_dwelling_house,ch_defence_dwelling_house}","{Chapter 17.14 Defence of Dwelling House s 267.docx,Chapter 17.14 Defence of Dwelling House s 267.docx}"
http://archive.sclqld.org.au/qjudgment/2009/QDC09-061.pdf,2,"{ch_child_stealing,ch_child_stealing}","{Chapter 12.2 Child Stealing s 363.docx,Chapter 12.2 Child Stealing s 363.docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-036.pdf,2,"{ch_identification,ch_identification}","{Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-117.pdf,2,"{ch_accident,ch_accident}","{Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-150.pdf,4,"{ch_lies_credit_only,ch_lies_told_defendant,ch_lies_credit_only,ch_lies_told_defendant}","{Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-194.pdf,2,"{ch_mistake_of_fact,ch_mistake_of_fact}","{Chapter 17.8 Mistake of Fact s 24.docx,Chapter 17.8 Mistake of Fact s 24.docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-244.pdf,2,"{ch_lies_told_defendant,ch_lies_told_defendant}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-342.pdf,4,"{ch_lies_told_defendant,ch_lies_credit_only,ch_lies_told_defendant,ch_lies_credit_only}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx}"
http://archive.sclqld.org.au/qjudgment/2010/QCA10-372.pdf,2,"{ch_general,ch_general}","{Chapter 3.1 General.docx,Chapter 3.1 General.docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-019.pdf,2,"{ch_sexual_assault,ch_sexual_assault}","{Chapter 11.4 Sexual Assault.docx,Chapter 11.4 Sexual Assault.docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-114.pdf,2,"{ch_dangerous_vehicle_operation,ch_dangerous_vehicle_operation}","{Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx,Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-123.pdf,4,"{ch_mistake_of_fact,ch_mistake_of_fact,ch_mistake_fact_sexual_pre_2024,ch_mistake_fact_sexual_pre_2024}","{Chapter 17.8 Mistake of Fact s 24.docx,Chapter 17.8 Mistake of Fact s 24.docx,Chapter 17.9 Mistake of Fact in Sexual Offending Pre-September 2024.docx,Chapter 17.9 Mistake of Fact in Sexual Offending Pre-September 2024.docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-175.pdf,2,"{ch_lies_told_defendant,ch_lies_told_defendant}","{Chapter 4.15 - Lies-Told-By-The-Defendant.docx,Chapter 4.15 - Lies-Told-By-The-Defendant.docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-339.pdf,2,"{ch_accident,ch_accident}","{Chapter 17.7 Accident s 23(1)(b).docx,Chapter 17.7 Accident s 23(1)(b).docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-343.pdf,2,"{ch_lies_credit_only,ch_lies_credit_only}","{Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx,Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx}"
http://archive.sclqld.org.au/qjudgment/2011/QCA11-386.pdf,2,"{ch_lies_credit_only,ch_lies_credit_only}","{Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx,Chapter 4.14 Lies Told by the Defendant Going Only to Credit.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-080.pdf,2,"{ch_identification,ch_identification}","{Chapter 4.25 Identification.docx,Chapter 4.25 Identification.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-082.pdf,2,"{ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-104.pdf,2,"{ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-111.pdf,2,"{ch_parties_to_offence,ch_parties_to_offence}","{Chapter 7.3 Parties to an offence.docx,Chapter 7.3 Parties to an offence.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-124.pdf,2,"{ch_evidence_affected_children,ch_evidence_affected_children}","{Chapter 2.11 Evidence of Affected Children.docx,Chapter 2.11 Evidence of Affected Children.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-167.pdf,2,"{ch_majority_verdict,ch_majority_verdict}","{Chapter 3.7 Majority Verdict.docx,Chapter 3.7 Majority Verdict.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-244.pdf,4,"{ch_people_smuggling,ch_people_smuggling,ch_people_smuggling,ch_people_smuggling}","{Chapter 18.4 People Smuggling.docx,Chapter 18.4 People Smuggling.docx,Chapter 18.4 People Smuggling.docx,Chapter 18.4 People Smuggling.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-248.pdf,4,"{ch_people_smuggling,ch_people_smuggling,ch_people_smuggling,ch_people_smuggling}","{Chapter 18.4 People Smuggling.docx,Chapter 18.4 People Smuggling.docx,Chapter 18.4 People Smuggling.docx,Chapter 18.4 People Smuggling.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-330.pdf,2,"{ch_dangerous_vehicle_operation,ch_dangerous_vehicle_operation}","{Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx,Chapter 10.16 Dangerous Operation of a Motor Vehicle.docx}"
http://archive.sclqld.org.au/qjudgment/2012/QCA12-337.pdf,2,"{ch_repeated_sexual_conduct_child,ch_repeated_sexual_conduct_child}","{Chapter 11.23 Maintaining a Sexual Relationship with a Child s 229B.docx,Chapter 11.23 Maintaining a Sexual Relationship with a Child s 229B.docx}"
