page_no,link_text,link_destination,link_domain,is_jade_link,is_sublink
220,[2012]QCA213,https://archive.sclqld.org.au/qjudgment/2012/QCA12-213.pdf,sclqld,FALSE,FALSE
220,[2012]QCA213,https://archive.sclqld.org.au/qjudgment/2012/QCA12-213.pdf,sclqld,FALSE,FALSE
220,[2018]HCA40,https://www.hcourt.gov.au/sites/default/files/eresources/2018/HCA/40.pdf,hcourt,FALSE,FALSE
220,[2024]HCA15,https://www.hcourt.gov.au/sites/default/files/eresources/2024/HCA/15.pdf,hcourt,FALSE,FALSE
223,[2016]QCA71,http://archive.sclqld.org.au/qjudgment/2016/QCA16-071.pdf,sclqld,FALSE,FALSE
223,[2016]QCA248,http://archive.sclqld.org.au/qjudgment/2016/QCA16-248.pdf,sclqld,FALSE,FALSE
225,[2002]HCA33,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/33.pdf,hcourt,FALSE,FALSE
225,[2002]HCA33,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/33.pdf,hcourt,FALSE,FALSE
225,[2016]QCA302,http://archive.sclqld.org.au/qjudgment/2016/QCA16-302.pdf,sclqld,FALSE,FALSE
225,[2002]HCA33,https://www.hcourt.gov.au/sites/default/files/eresources/2002/HCA/33.pdf,hcourt,FALSE,FALSE
225,[2016]QCA302,http://archive.sclqld.org.au/qjudgment/2016/QCA16-302.pdf,sclqld,FALSE,FALSE
229,[1992]HCA13,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/1992/13.html,austlii,FALSE,FALSE
229,[1997]QCA441,http://archive.sclqld.org.au/qjudgment/1997/QCA97-441.pdf,sclqld,FALSE,FALSE
230,[1999]QCA105,http://archive.sclqld.org.au/qjudgment/1999/QCA99-105.pdf,sclqld,FALSE,FALSE
230,[1999]QCA105,http://archive.sclqld.org.au/qjudgment/1999/QCA99-105.pdf,sclqld,FALSE,FALSE
231,[1999]QCA105,http://archive.sclqld.org.au/qjudgment/1999/QCA99-105.pdf,sclqld,FALSE,FALSE
231,[1992]HCA13,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/1992/13.html,austlii,FALSE,FALSE
232,[2000]QSC273,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1981172709&pubNum=3586&originatingDoc=I62b4467087a711e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=3330ee783afa40b282a2af2e018cf321&contextData=(sc.Default)&comp=wlau,thomsonreuters,FALSE,FALSE
232,[1997]QCA483,http://archive.sclqld.org.au/qjudgment/1997/QCA97-483.pdf,sclqld,FALSE,FALSE
232,[2014]QCA164,http://archive.sclqld.org.au/qjudgment/2014/QCA14-164.pdf,sclqld,FALSE,FALSE
234,[2010]QCA36,http://archive.sclqld.org.au/qjudgment/2010/QCA10-036.pdf,sclqld,FALSE,FALSE
234,[1992]HCA13,http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/1992/13.html,austlii,FALSE,FALSE
234,[2012]QCA80,http://archive.sclqld.org.au/qjudgment/2012/QCA12-080.pdf,sclqld,FALSE,FALSE
246,[1999]HCA42,https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Robinson%20v%20The%20Queen%20%28B59-1998%29%20%5B1999%5D%20HCA%2042.pdf,hcourt,FALSE,FALSE
