ch,link_text,link_destination,domain,is_sublink
10.16,ention (R v Jiminez (1992) 173 CLR 572,https://jade.io/article/67673,jade.io,False
10.16,McBride v The Queen (1966) 115 CLR 44,https://jade.io/article/65903,jade.io,False
10.16,McBride v The Queen (1966) 115 CLR 44,https://jade.io/article/65903,jade.io,False
10.16,[2012] QCA 330,http://archive.sclqld.org.au/qjudgment/2012/QCA12-330.pdf,archive.sclqld.org.au,False
10.16,[2009] 1 Qd R 476,https://www.queenslandjudgments.com.au/case/id/502013,queenslandjudgments.com.au,False
10.16,[2011] QCA 114,http://archive.sclqld.org.au/qjudgment/2011/QCA11-114.pdf,archive.sclqld.org.au,False
10.16,[2003] QCA 567,http://archive.sclqld.org.au/qjudgment/2003/QCA03-567.pdf,archive.sclqld.org.au,False
10.16,[2016] QCA 123,http://archive.sclqld.org.au/qjudgment/2016/QCA16-123.pdf,archive.sclqld.org.au,False
10.16, Royall v The Queen (1991) 172 CLR 378,https://jade.io/article/67628,jade.io,False
10.16,[2006] 1 Qd R 250,https://www.queenslandjudgments.com.au/case/id/503514,queenslandjudgments.com.au,False
10.17,[1972] VR 305,https://victorianreports.com.au/judgment/view/1972-VR-305,victorianreports.com.au,False
10.17,(1986) 43 SASR 187,http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/document?docguid=Ia13b4c9031d211e69e0fd18d932f6e2c&tocDs=AUNZ_CASES_TOC&isTocNav=true&startChunk=1&endChunk=1,0-www.westlaw.com.au.catalogue.sclqld.org.au,False
10.17,[1999] NSWCCA 14,https://www.caselaw.nsw.gov.au/decision/549f99cb3004262463b0ffc8,caselaw.nsw.gov.au,False
10.17,d. In R v De Simoni (1981) 147 CLR 383,https://jade.io/article/66915/section/140850?asv=citation_browser,jade.io,False
10.2,R v Reid [2007] 1 Qd R 64,https://www.queenslandjudgments.com.au/case/id/502345,queenslandjudgments.com.au,False
10.2,[2016] HCA 12,https://eresources.hcourt.gov.au/downloadPdf/2016/HCA/12,eresources.hcourt.gov.au,False
10.2,25 QJPR 81,https://anzlaw.thomsonreuters.com/Document/Ief54513088c711e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,anzlaw.thomsonreuters.com,False
10.2,rannigan; R v Green [2009] QCA 271,https://jade.io/article/99642,jade.io,False
10.2,[1985] 1 Qd R 343,https://www.queenslandjudgments.com.au/case/id/500750,queenslandjudgments.com.au,False
10.3,o 1 of 1993); R v K (1993) 118 ALR 596,https://jade.io/article/212480,jade.io,False
10.3,[1978] Qd R 303,https://www.queenslandjudgments.com.au/case/id/508885,queenslandjudgments.com.au,False
10.3,[1962] HCA 23,https://eresources.hcourt.gov.au/showbyHandle/1/9350,eresources.hcourt.gov.au,False
10.4,R v Reid [2007] 1 Qd R 64,https://www.queenslandjudgments.com.au/case/id/502345,queenslandjudgments.com.au,False
10.4,[2016] HCA 12,https://eresources.hcourt.gov.au/downloadPdf/2016/HCA/12,eresources.hcourt.gov.au,False
10.4,25 QJPR 81,https://anzlaw.thomsonreuters.com/Document/Ief54513088c711e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0,anzlaw.thomsonreuters.com,False
10.4,rannigan; R v Green [2009] QCA 271,https://jade.io/article/99642,jade.io,False
10.4,[1985] 1 Qd R 343,https://www.queenslandjudgments.com.au/case/id/500750,queenslandjudgments.com.au,False
10.5,[2015] QCA 136,https://www.queenslandjudgments.com.au/case-download/id/88907,queenslandjudgments.com.au,False
10.5,y (Swan v The Queen (2020) 269 CLR 663,https://jade.io/article/722112,jade.io,False
10.5, Royall v The Queen (1991) 172 CLR 378,https://jade.io/article/67628,jade.io,False
10.5,R v Knutsen,https://www.queenslandjudgments.com.au/case-download/id/507783,queenslandjudgments.com.au,False
10.5,[1963] Qd R 157,https://www.queenslandjudgments.com.au/case-download/id/507783,queenslandjudgments.com.au,False
10.5,oughton v The Queen [2004] WASCA 20,https://jade.io/article/143131,jade.io,False
10.5,(2004) 144 A Crim R 343,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2004135154&pubNum=5341&originatingDoc=I8014d030896511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=83d2d17b171d40729faf602746c5d7c3&contextData=(sc.Default)&comp=wlau,anzlaw.thomsonreuters.com,False
10.5,onovski v The Queen (1973) 133 CLR 209,https://jade.io/article/66420,jade.io,False
10.5,Boughey v The Queen (1986) 161 CLR 10,https://jade.io/article/67276,jade.io,False
10.5,[2011] 2 Qd R 435,https://www.queenslandjudgments.com.au/case-download/id/507234,queenslandjudgments.com.au,False
10.6,[2000] QCA ,https://www.queenslandjudgments.com.au/caselaw/qca/2000/201,queenslandjudgments.com.au,False
10.6,201,https://www.queenslandjudgments.com.au/caselaw/qca/2000/201,queenslandjudgments.com.au,False
10.6,",",https://www.queenslandjudgments.com.au/caselaw/qca/2000/201,queenslandjudgments.com.au,False
10.6,[2018] QCA 36,https://www.queenslandjudgments.com.au/caselaw/qca/2018/36,queenslandjudgments.com.au,False
10.6,",",https://www.queenslandjudgments.com.au/caselaw/qca/2018/36,queenslandjudgments.com.au,False
10.6,(2016) 256 CLR 482; [2016] HCA 12,https://jade.io/article/460468,jade.io,False
10.6,R 482; [2016] HCA 12.,https://jade.io/article/460468,jade.io,False
10.6, ,https://www.queenslandjudgments.com.au/case/id/501354,queenslandjudgments.com.au,False
10.6,[2006] 2 Qd R 69,https://www.queenslandjudgments.com.au/case/id/501354,queenslandjudgments.com.au,False
10.6,",",https://www.queenslandjudgments.com.au/case/id/501354,queenslandjudgments.com.au,False
10.6,[2004] QCA 192,https://www.queenslandjudgments.com.au/caselaw/qca/2004/192,queenslandjudgments.com.au,False
10.6,",",https://www.queenslandjudgments.com.au/caselaw/qca/2004/192,queenslandjudgments.com.au,False
10.6,[2006] QCA 291,https://www.queenslandjudgments.com.au/caselaw/qca/2006/291,queenslandjudgments.com.au,False
10.6,",",https://www.queenslandjudgments.com.au/caselaw/qca/2006/291,queenslandjudgments.com.au,False
10.7,[1993] 1 Qd R 643,https://www.queenslandjudgments.com.au/case/id/505370,queenslandjudgments.com.au,False
10.7,onovski v The Queen (1973) 133 CLR 209,https://jade.io/article/66420,jade.io,False
10.8,[2023] QCA 265,https://www.queenslandjudgments.com.au/caselaw/qca/2023/265,queenslandjudgments.com.au,False
10.8, Rodway v The Queen (1990) 169 CLR 515,https://jade.io/article/67558,jade.io,False
